,Score2015,Score2016,Score2017,Score2018,Score2019,Score2020
Afghanistan,3.575,3.36,3.7939999103546103,3.6319999999999997,3.2030000000000003,2.5669000148773193
Albania,4.959,4.655,4.64400005340576,4.586,4.718999999999999,4.882699966430664
Algeria,5.605,6.355,5.872000217437741,5.295,5.211,5.005099773406982
Angola,4.033,3.866,3.79500007629395,3.795,3.795,3.795
Argentina,6.574,6.65,6.59899997711182,6.388,6.086,5.974699974060059
Armenia,4.35,4.36,4.37599992752075,4.321000000000001,4.559,4.676799774169922
Australia,7.284,7.313,7.28399991989136,7.272,7.228,7.222799777984619
Austria,7.2,7.119,7.00600004196167,7.138999999999999,7.246,7.2941999435424805
Azerbaijan,5.212000000000001,5.291,5.234000205993651,5.2010000000000005,5.207999999999999,5.16480016708374
Bahrain,5.96,6.218,6.08699989318848,6.105,6.199,6.22730016708374
Bangladesh,4.694,4.643,4.60799980163574,4.5,4.456,4.832799911499023
Belarus,5.813,5.8020000000000005,5.5689997673034695,5.483,5.3229999999999995,5.539899826049805
Belgium,6.937,6.928999999999999,6.89099979400635,6.9270000000000005,6.922999999999999,6.863500118255615
Belize,5.956,5.956,5.955999851226809,5.956,5.956,5.956
Benin,3.34,3.484,3.65700006484985,4.141,4.883,5.216000080108643
Bhutan,5.252999999999999,5.196000000000001,5.01100015640259,5.082,5.082,5.082
Bolivia,5.89,5.822,5.82299995422363,5.752000000000001,5.779,5.747499942779541
Bosnia and Herzegovina,4.949,5.162999999999999,5.18200016021729,5.129,5.386,5.674099922180176
Botswana,4.332,3.9739999999999998,3.7660000324249303,3.59,3.488,3.4788999557495117
Brazil,6.983,6.952000000000001,6.6350002288818395,6.419,6.3,6.3755998611450195
Bulgaria,4.218,4.217,4.71400022506714,4.933,5.011,5.101500034332275
Burkina Faso,3.5869999999999997,3.739,4.03200006484985,4.4239999999999995,4.587,4.768700122833252
Burundi,2.905,2.905,2.90499997138977,2.905,3.775,3.7753000259399414
Cambodia,3.819,3.907,4.1680002212524405,4.433,4.7,4.848400115966797
Cameroon,4.252,4.513,4.69500017166138,4.975,5.044,5.08489990234375
Canada,7.4270000000000005,7.404,7.31599998474121,7.327999999999999,7.278,7.232100009918213
Central African Republic,3.678,3.1855,2.69300007820129,3.083,3.083,3.4758999347686768
Chad,3.667,3.763,3.9360001087188703,4.301,4.35,4.422699928283691
Chile,6.67,6.705,6.65199995040894,6.476,6.444,6.228499889373779
China,5.14,5.245,5.2729997634887695,5.246,5.191,5.123899936676025
Colombia,6.477,6.481,6.35699987411499,6.26,6.125,6.163400173187256
Comoros,3.9560000000000004,3.9560000000000004,3.9645,3.9645,3.9730000000000003,4.288599967956543
Congo (Brazzaville),3.989,4.236000000000001,4.29099988937378,4.559,4.812,5.194399833679199
Congo (Kinshasa),4.5169999999999995,4.272,4.2800002098083505,4.245,4.418,4.310999870300293
Costa Rica,7.226,7.087000000000001,7.0789999961853,7.072,7.167000000000001,7.121399879455566
Croatia,5.7589999999999995,5.4879999999999995,5.2930002212524405,5.321000000000001,5.432,5.504700183868408
Cyprus,5.689,5.546,5.62099981307983,5.7620000000000005,6.046,6.158999919891357
Czech Republic,6.505,6.596,6.60900020599365,6.711,6.852,6.910900115966797
Denmark,7.527,7.526,7.52199983596802,7.555,7.6,7.645599842071533
Dominican Republic,4.885,5.155,5.230000019073491,5.3020000000000005,5.425,5.689199924468994
Ecuador,5.975,5.976,6.00799989700317,5.973,6.028,5.92519998550415
Egypt,4.194,4.362,4.7350001335144,4.419,4.166,4.151400089263916
El Salvador,6.13,6.068,6.002999782562259,6.167000000000001,6.252999999999999,6.348299980163574
